1.wav|otig is der weg, wss fihrt in stedtel arein.|otig is der weg, wss fihrt in stedtel arein.
433.wav|un bald hot r' mrdchi mit'n bchur'l doss selbe getun.|un bald hot r' mrdchi mit'n bchur'l doss selbe getun.
434.wav|hoben ale ddei ongeheuben areuf un arob iber der schm sich zu drehen.|hoben ale ddei ongeheuben areuf un arob iber der schm sich zu drehen.
435.wav|r' ichskl hot fun zeit zu zeit rbunu schl eulm* gekrechzt, bald hoben sei sich bei der wand anidergestel, stil geschokelt sich, un stil gedawent.|r' ichskl hot fun zeit zu zeit rbunu schl eulm* gekrechzt, bald hoben sei sich bei der wand anidergestel, stil geschokelt sich, un stil gedawent.
436.wav|in stub is str geworen, nor noe'ss schnorchen is eufgegangen fun in behalte winkel un hot sich iber der stub euf un ob geto ri cheim'te is gesessen bei der kich, spendlech untedgelen, di spendlech hoben in feier geknakt.|in stub is str geworen, nor noe'ss schnorchen is eufgegangen fun in behalte winkel un hot sich iber der stub euf un ob geto ri cheim'te is gesessen bei der kich, spendlech untedgelen, di spendlech hoben in feier geknakt.
437.wav|di cheisssche hot geksch euf ri ssuchrim un hot far sei drch-rz geerogen.|di cheisssche hot geksch euf ri ssuchrim un hot far sei drch-rz geerogen.
438.wav|aselche|aselche
439.wav|greusse ssuchrim dawnen in ihr orim eingefalen stibel, mis got audai sein bei ihr in stibel, un si a churbn noch ihr!|greusse ssuchrim dawnen in ihr orim eingefalen stibel, mis got audai sein bei ihr in stibel, un si a churbn noch ihr!
440.wav|si legt gor helzelich unter unter'n feier.|si legt gor helzelich unter unter'n feier.
441.wav|un hot sich di hor unter'n tichel aruntergerukt.|un hot sich di hor unter'n tichel aruntergerukt.
442.wav|pluzlung wen ess is aseu stil un men steht schmunh-eschrh un alz arum steht schmunh-eschrh, derhert sich fun dreussen a goss, wi a im wolt untergegangen in a im.|pluzlung wen ess is aseu stil un men steht schmunh-eschrh un alz arum steht schmunh-eschrh, derhert sich fun dreussen a goss, wi a im wolt untergegangen in a im.
443.wav|dernoch a lange seuile a stilenisch.|dernoch a lange seuile a stilenisch.
444.wav|halten!|halten!
445.wav|halten!|halten!
446.wav|schreit men.|schreit men.
447.wav|doss kul hot mit resch obgeschlogen, aseu wi men wolt misch der feusst in fensster areingeklapt.|doss kul hot mit resch obgeschlogen, aseu wi men wolt misch der feusst in fensster areingeklapt.
448.wav|di cheim'te is scheun in dreussen gewen note hot sich fun schlof eufgechapt, a minut hot er sich arumgekukt, eub ess brent nischt.|di cheim'te is scheun in dreussen gewen note hot sich fun schlof eufgechapt, a minut hot er sich arumgekukt, eub ess brent nischt.
449.wav|bald hot er sch on epess dermohnt un is reussgelofen.|bald hot er sch on epess dermohnt un is reussgelofen.
450.wav|di drei seinen gestanen un gedawent.|di drei seinen gestanen un gedawent.
451.wav|doss iungel hot sich nit gekent einkalten un is in schmunh-eschrh eussgetreten, er hot gewolt areuss fun stub, nor dersehendik, wi di zwei iuden stehen un dihen si.ch nischt fun ort, hot ess ihm sehr bang getun.|doss iungel hot sich nit gekent einkalten un is in schmunh-eschrh eussgetreten, er hot gewolt areuss fun stub, nor dersehendik, wi di zwei iuden stehen un dihen si.ch nischt fun ort, hot ess ihm sehr bang getun.
452.wav|er hot gewolt weiter sich schmunh-eschrh stelen, nor er hot sich gschehmt far got, hot er nischt gewusst woss zu tun.|er hot gewolt weiter sich schmunh-eschrh stelen, nor er hot sich gschehmt far got, hot er nischt gewusst woss zu tun.
453.wav|ess efent sich di thir, ess kumt arein zuleufen cheim ohn an othem.|ess efent sich di thir, ess kumt arein zuleufen cheim ohn an othem.
454.wav|panie, di drite tratwe is awekneschwumen.|panie, di drite tratwe is awekneschwumen.
455.wav|di iuden stehen schmunh-eschrh.|di iuden stehen schmunh-eschrh.
456.wav|a minut kukt sich doss bchur'l on mit m' cheim'n.|a minut kukt sich doss bchur'l on mit m' cheim'n.
457.wav|un sei schweigen.|un sei schweigen.
458.wav|di iden gehen euss schmunh-eschrh.|di iden gehen euss schmunh-eschrh.
459.wav|woss is?|woss is?
460.wav|fregt d' ichskl.|fregt d' ichskl.
461.wav|scheigaz!|scheigaz!
462.wav|hert sich a knal fun a patsch, woss r' mrdchi hot ongemossmen sein suhn: in miten schmunh-eschrh schissgeeten?|hert sich a knal fun a patsch, woss r' mrdchi hot ongemossmen sein suhn: in miten schmunh-eschrh schissgeeten?
463.wav|ess is ongekumen, awekgeschwumen.|ess is ongekumen, awekgeschwumen.
464.wav|awekgeschwumen!|awekgeschwumen!
465.wav|en hot ongeheuben zu nehmen schwelen fun der driter|en hot ongeheuben zu nehmen schwelen fun der driter
466.wav|a stertel.|a stertel.
467.wav|tratwe, is ongekumen a greuss mik eis, wi a chih, un heida., awek kein dandg.|tratwe, is ongekumen a greuss mik eis, wi a chih, un heida., awek kein dandg.
468.wav|a ssch areussneschmewet?|a ssch areussneschmewet?
469.wav|a 540 schwelen.|a 540 schwelen.
470.wav|geleunt is got derfar!|geleunt is got derfar!
471.wav|er dermohnt sich pluzlee geht reuf un arob iber der stub, sogt elinu.|er dermohnt sich pluzlee geht reuf un arob iber der stub, sogt elinu.
472.wav|speit euss di hand sucht scheun doss bichel in busem-keschene.|speit euss di hand sucht scheun doss bichel in busem-keschene.
473.wav|keum obgesont elinu, hot er sich in pelz ongetun un' is areuss.|keum obgesont elinu, hot er sich in pelz ongetun un' is areuss.
474.wav|in dreussen is di nacht finsster aseu, as ess is schwer' zu gleuben, as euben is a himel do, un euf'n himel sol (och a got sein.|in dreussen is di nacht finsster aseu, as ess is schwer' zu gleuben, as euben is a himel do, un euf'n himel sol (och a got sein.
475.wav|doss wasser stromt.|doss wasser stromt.
476.wav|men seht nischt, men hert nor di' kraft fun chess, wi epess ungeheieress wolt gekumen di ganze welt einzuschlingen.|men seht nischt, men hert nor di' kraft fun chess, wi epess ungeheieress wolt gekumen di ganze welt einzuschlingen.
477.wav|r' ichskl derschrekt sich.|r' ichskl derschrekt sich.
478.wav|er heisst eufheren zu arbeiten, men sol nischt di tratwess zunehmen.|er heisst eufheren zu arbeiten, men sol nischt di tratwess zunehmen.
479.wav|iber nacht sol men sich euf got'ss chssd ferlosen un iberlosen ditratwess tratwess beim breg ongebunden, un er is btuch, as got wet ihm nit ferlosen.|iber nacht sol men sich euf got'ss chssd ferlosen un iberlosen ditratwess tratwess beim breg ongebunden, un er is btuch, as got wet ihm nit ferlosen.
480.wav|un mit a ruhig harz, mit btchun euf got'ss chssd nessm er awek zurik zu cheim'en in stub zu essen wetschere, un mischa a msumn zu bentschen.|un mit a ruhig harz, mit btchun euf got'ss chssd nessm er awek zurik zu cheim'en in stub zu essen wetschere, un mischa a msumn zu bentschen.
481.wav|di ssuchrim seinen gesessen stil beim essen.|di ssuchrim seinen gesessen stil beim essen.
482.wav|ieder ferthr in seine chschbunuss.|ieder ferthr in seine chschbunuss.
483.wav|fun dreussen hert sich dem wind'ss klogen' un doss wasser'ss gereusch.|fun dreussen hert sich dem wind'ss klogen' un doss wasser'ss gereusch.
484.wav|r' ichskl is gleichgiltig.|r' ichskl is gleichgiltig.
485.wav|wi halt ess bei eich mit korn?|wi halt ess bei eich mit korn?
486.wav|fregt er r' mrei's, bdi di gedanken zu feriogen.|fregt er r' mrei's, bdi di gedanken zu feriogen.
487.wav|bei uns korn?|bei uns korn?
488.wav|kein kerendil in di eugen zu sehn.|kein kerendil in di eugen zu sehn.
489.wav|zer hot?|zer hot?
490.wav|un noch a weile stil-schweigen:|un noch a weile stil-schweigen:
491.wav|ch'hob afilu a bissel ligen, nor, far mir, a bissel.|ch'hob afilu a bissel ligen, nor, far mir, a bissel.
492.wav|wi theier?|wi theier?
493.wav|zwei un dreissig gilden, 240 polnisch.|zwei un dreissig gilden, 240 polnisch.
494.wav|zwei un dreissig, theier, in unsere ssbibuss a ssch bi liger.|zwei un dreissig, theier, in unsere ssbibuss a ssch bi liger.
495.wav|un aseu wi sei wolten sich scheun gehat obgeredt, nehmt r' mrdchi a sekel areuss, un bindt ess euf.|un aseu wi sei wolten sich scheun gehat obgeredt, nehmt r' mrdchi a sekel areuss, un bindt ess euf.
496.wav|d' ichskl rei- dendik, stekt di hend in sekel arein, nehmt areuss a por keren,dlich, chapt einss in meul arein, spalt ess, un chapt' ess weiter euf di zwei finger un knet ess, un lekt ess.|d' ichskl rei- dendik, stekt di hend in sekel arein, nehmt areuss a por keren,dlich, chapt einss in meul arein, spalt ess, un chapt' ess weiter euf di zwei finger un knet ess, un lekt ess.
497.wav|doss mehl ni 'kschh.|doss mehl ni 'kschh.
498.wav|doss teigel, e, (er kneitscht mit'i dgnr nos).|doss teigel, e, (er kneitscht mit'i dgnr nos).
499.wav|weit fun wasser?|weit fun wasser?
500.wav|a wiorsst drei.|a wiorsst drei.
501.wav|a zwei hund.ert seklech bald beim wasser.|a zwei hund.ert seklech bald beim wasser.
502.wav|bis wen?|bis wen?
503.wav|chzi eir.|chzi eir.
504.wav|zu theier, a finferil arunter.|zu theier, a finferil arunter.
505.wav|r' mrdchi kneitscht dem stern, a zeichen, as er ken nit.|r' mrdchi kneitscht dem stern, a zeichen, as er ken nit.
506.wav|r' ichskl schneidt sich ob a stikel breut, nit aseu wi zum essen, wi epess zu tun.|r' ichskl schneidt sich ob a stikel breut, nit aseu wi zum essen, wi epess zu tun.
507.wav|note beim euwen husst, a pnim ten hot fergessen.|note beim euwen husst, a pnim ten hot fergessen.
508.wav|on i un er wil dermohnen.|on i un er wil dermohnen.
509.wav|di cheim'te derlangte mim-achrunim-wasser.|di cheim'te derlangte mim-achrunim-wasser.
510.wav|a minut schweigen sei.|a minut schweigen sei.
511.wav|dernoch heubt einer dem zweiten tit di eugen on zu winken: nu, r' ichskl, r' mrdchi, nu.|dernoch heubt einer dem zweiten tit di eugen on zu winken: nu, r' ichskl, r' mrdchi, nu.
512.wav|zum ssuf is einer msschim un er heubt on:|zum ssuf is einer msschim un er heubt on:
513.wav|rbussi, min- welen benschen.|rbussi, min- welen benschen.
514.wav|der eulm benscht ob.|der eulm benscht ob.
515.wav|r' ichskl derheubt sich der ersterpun tisch un fregt mit a gelechteril:|r' ichskl derheubt sich der ersterpun tisch un fregt mit a gelechteril:
516.wav|nu, bchur'l, kensst epess lernen?|nu, bchur'l, kensst epess lernen?
517.wav|far woss nit?|far woss nit?
518.wav|entfert der bchur:|entfert der bchur:
519.wav|der tate hot hnh un schmeichel.t.|der tate hot hnh un schmeichel.t.
520.wav|er fohrt fun der ischibh—macht a bemerkung der foter.|er fohrt fun der ischibh—macht a bemerkung der foter.
521.wav|woss fr a schieur lernsstu?|woss fr a schieur lernsstu?
522.wav|dbr uchzi dbr.|dbr uchzi dbr.
523.wav|o, a weuler schieur.|o, a weuler schieur.
524.wav|epess mit mfurschim?|epess mit mfurschim?
525.wav|un nit' eusshedendik dem entfer fun dem bchur'l, wendet er sich zuth|un nit' eusshedendik dem entfer fun dem bchur'l, wendet er sich zuth
526.wav|boter in der stil:|boter in der stil:
527.wav|der kleiner gefelt mir.|der kleiner gefelt mir.
528.wav|a weulen kop, entfert r' mrdchi mit a wunk.|a weulen kop, entfert r' mrdchi mit a wunk.
529.wav|nu, ich wolt doch gewolt keufen, dem korn.|nu, ich wolt doch gewolt keufen, dem korn.
530.wav|ihr meint, as ich darf ihm, gor nischt, nor glat as ich bin scheun do.|ihr meint, as ich darf ihm, gor nischt, nor glat as ich bin scheun do.
531.wav|it holz wel ich a gescheft machen?|it holz wel ich a gescheft machen?
532.wav|woss?|woss?
533.wav|darf men epess keufen, as ess treft sich zu keufen.|darf men epess keufen, as ess treft sich zu keufen.
534.wav|nu, drbh.|nu, drbh.
535.wav|doss finferil obfuhr-geld.|doss finferil obfuhr-geld.
536.wav|as ich ken nischt.|as ich ken nischt.
537.wav|d' ichskl nehmt areuss a greussen pak fun a hinterkeschene, efent ihm euf, nehmt areuss a por einzelne hunderter, un is sei mussr r' mrdchi'n.|d' ichskl nehmt areuss a greussen pak fun a hinterkeschene, efent ihm euf, nehmt areuss a por einzelne hunderter, un is sei mussr r' mrdchi'n.
538.wav|woss sol men tun as men ken nischt, krechzt r' mrdchi un nehmt doss geld.|woss sol men tun as men ken nischt, krechzt r' mrdchi un nehmt doss geld.
539.wav|un doss gescheft is gemacht.|un doss gescheft is gemacht.
540.wav|wer weisst, wemess tbuh fun wemess felder seinen izt ibergegangen fun ein rschuss in zweiten.|wer weisst, wemess tbuh fun wemess felder seinen izt ibergegangen fun ein rschuss in zweiten.
541.wav|un got hot geholfen.|un got hot geholfen.
542.wav|doss eis hot epess wi durch a geheimen befehl di tratwess gemiten, wi schwemlech kleine, wi spendlich holz hoben sei sich in dem sudigen wasser getukt, geworfen un getreisselt, un fun ort sich nischt gerihrt.|doss eis hot epess wi durch a geheimen befehl di tratwess gemiten, wi schwemlech kleine, wi spendlich holz hoben sei sich in dem sudigen wasser getukt, geworfen un getreisselt, un fun ort sich nischt gerihrt.
543.wav|d' ichskl is beim breg gestanen un zugesehn got'ss wunder,.woss er tut mit ihm un ferlost ihm nischt.|d' ichskl is beim breg gestanen un zugesehn got'ss wunder,.woss er tut mit ihm un ferlost ihm nischt.
544.wav|zwei teg hoben di peuerim gearbeit un doss holz euf'n breg areufgebracht, un r' ichskl hot bescheinperlich gesehn not'ss hilf.|zwei teg hoben di peuerim gearbeit un doss holz euf'n breg areufgebracht, un r' ichskl hot bescheinperlich gesehn not'ss hilf.
545.wav|donerstog hot sich r' ichskl mit r' mrdchi'n gesegent.|donerstog hot sich r' ichskl mit r' mrdchi'n gesegent.
546.wav|d' mrdchi hot nebich gemust iberbleiben iber schbss bei cheim'en, er hot iber'n wasser nischt gekont ariber.|d' mrdchi hot nebich gemust iberbleiben iber schbss bei cheim'en, er hot iber'n wasser nischt gekont ariber.
547.wav|un wen note is mit'n kurzen pelzel euf'n wogen gesessen, doss selnerische hitel euf'n kop, wartendik euf'n bel-hbiss, is di cheim'te areuss euf di treplech.|un wen note is mit'n kurzen pelzel euf'n wogen gesessen, doss selnerische hitel euf'n kop, wartendik euf'n bel-hbiss, is di cheim'te areuss euf di treplech.
548.wav|si hot gekumt euf noten un hot mit ihr alten greuen kop, woss is in ihr|si hot gekumt euf noten un hot mit ihr alten greuen kop, woss is in ihr
549.wav|gru-en tichel gewen eingefasst, zugeschlt.|gru-en tichel gewen eingefasst, zugeschlt.
550.wav|in mch is ihr epess a gedank klor geworen: asa iung is doss, der note, ongegessen bei ihr (si hot ihm mit dem bessten gefitert), gemeint, as er wet mit ihr, mit ihr schwesster-kind mspchh weren, un er sizt sich goeu euf der fuhr, un di ferd wilen ihm awektrogen.|in mch is ihr epess a gedank klor geworen: asa iung is doss, der note, ongegessen bei ihr (si hot ihm mit dem bessten gefitert), gemeint, as er wet mit ihr, mit ihr schwesster-kind mspchh weren, un er sizt sich goeu euf der fuhr, un di ferd wilen ihm awektrogen.
551.wav|asa iung is doss.|asa iung is doss.
552.wav|er hot si obgenart un kein rechte pretensie ken si doch nischt hoben zu ihm woss tut er den?|er hot si obgenart un kein rechte pretensie ken si doch nischt hoben zu ihm woss tut er den?
553.wav|er fohrt awek mit sein bel-hbiss, nu, woss den sol er tun, bei ihr iberbleiben?|er fohrt awek mit sein bel-hbiss, nu, woss den sol er tun, bei ihr iberbleiben?
554.wav|ober schoklen mitz kop hot si gehat euf woss un si is euf di trepelech gestanen, gekukt euf noten un si hot mit der gombe zuger ischokelt.|ober schoklen mitz kop hot si gehat euf woss un si is euf di trepelech gestanen, gekukt euf noten un si hot mit der gombe zuger ischokelt.
555.wav|asa iung is doss!|asa iung is doss!
556.wav|o, woss asa iung ken!|o, woss asa iung ken!
557.wav|note hot dem kop awekgenumen un gekukt ergez in der suelt rein, pnim gemacht sich nischt sehn, un hot gefeift zu di ferd.|note hot dem kop awekgenumen un gekukt ergez in der suelt rein, pnim gemacht sich nischt sehn, un hot gefeift zu di ferd.
558.wav|wi er sizt sich do steif euf der fuhr, hot si gesogt mehr mit'n kop wi mit'n meul.|wi er sizt sich do steif euf der fuhr, hot si gesogt mehr mit'n kop wi mit'n meul.
559.wav|woss?|woss?
560.wav|ha?|ha?
561.wav|fregt note un stelt euss frum di eugen.|fregt note un stelt euss frum di eugen.
562.wav|woss?|woss?
563.wav|woss?|woss?
564.wav|ha un ongefressen hosst du dich?|ha un ongefressen hosst du dich?
565.wav|un 'ongeseufen hosst du dich?|un 'ongeseufen hosst du dich?
566.wav|ha?|ha?
567.wav|woss?|woss?
568.wav|hot di alte geschokelt mit'n kop.|hot di alte geschokelt mit'n kop.
569.wav|a weuler iung note, weuler iung ch'leben ongegessen sich obgenart di alte ch'leben.|a weuler iung note, weuler iung ch'leben ongegessen sich obgenart di alte ch'leben.
570.wav|a schduch wil si?|a schduch wil si?
571.wav|sogt r' cheim onkumendik un klapt noten euf di pleizess.|sogt r' cheim onkumendik un klapt noten euf di pleizess.
