ashtetl-1|אָטיג איז דער װעג, װאס פיהרט אין „שטעדטעל" אַרײן.|אָטיג איז דער װעג, װאס פיהרט אין „שטעדטעל" אַרײן.
ashtetl-891|אין דער גאַס פאר טהיר און טהױער זיען װײבער, בית'טעס מיט שטריקנאָדלען אין די הענד, שטריקען זאָקען ,און ערצעהלען מעשיות.|אין דער גאַס פאר טהיר און טהױער זיען װײבער, בית'טעס מיט שטריקנאָדלען אין די הענד, שטריקען זאָקען ,און ערצעהלען מעשיות.
ashtetl-892|און די חדריונגלעך, װאָס זײנען אין שטאָדט איבערגעבליבען, שטעהען בײ זײ און ציהען די מאַמעס שירצען : מאַמע, אַ צװײער!|און די חדריונגלעך, װאָס זײנען אין שטאָדט איבערגעבליבען, שטעהען בײ זײ און ציהען די מאַמעס שירצען : מאַמע, אַ צװײער!
ashtetl-893|די פרומע רבי'צין, אָנגעטון אין חוליהמועד'דיען װײסען שאַל, זיצט פאר איהר טהיר, ארום איהר די כלי-קודשיבער, — די שוחט'קע מיט דעם חזנ'ס װײב.|די פרומע רבי'צין, אָנגעטון אין חוליהמועד'דיען װײסען שאַל, זיצט פאר איהר טהיר, ארום איהר די כלי-קודשיבער, — די שוחט'קע מיט דעם חזנ'ס װײב.
ashtetl-894|אױף די פּאָר אײנציגע בױמער, װאָס זײנען פערװאָרפען אין גשעל אָאָס קײנער װײסט נישט, װער עס האָט זײ דאָ אײנגעפלאַנצט), ציהען זיך חדר-יונגלעך און רײסען צװײגלעך.|אױף די פּאָר אײנציגע בױמער, װאָס זײנען פערװאָרפען אין גשעל אָאָס קײנער װײסט נישט, װער עס האָט זײ דאָ אײנגעפלאַנצט), ציהען זיך חדר-יונגלעך און רײסען צװײגלעך.
ashtetl-895|פון פעלד קומען צוגעהן באָרװיסע יונגלעך מיט פּעק געלע פעלד-בלומען אין די הענד, און רופען אין דער גאַס ט ש דיר בלומען, גיב מיר קנעפּ,|פון פעלד קומען צוגעהן באָרװיסע יונגלעך מיט פּעק געלע פעלד-בלומען אין די הענד, און רופען אין דער גאַס ט ש דיר בלומען, גיב מיר קנעפּ,
ashtetl-896|נאַ דיר בלומען, גיב מיר קנעפּ!|נאַ דיר בלומען, גיב מיר קנעפּ!
ashtetl-897|די קינדער קומען אָן צולױפען, רינגלען זײ ארום, רײסען אָב די קנעפּלעך פון די הײזלעך, פון די קאַפּאָטקעלעך און קױפען בלוטען,|די קינדער קומען אָן צולױפען, רינגלען זײ ארום, רײסען אָב די קנעפּלעך פון די הײזלעך, פון די קאַפּאָטקעלעך און קױפען בלוטען,
ashtetl-898|קערען זיך אום צורק צו זײערע מאַמעס מיט הענד בלומען און אראָבבּעלאָזטע תּחתונים'לער...|קערען זיך אום צורק צו זײערע מאַמעס מיט הענד בלומען און אראָבבּעלאָזטע תּחתונים'לער...
ashtetl-899|אין מיטען מאַרק װערט פּללונג אױסגעשפּרײט אַ לאַנגע, ברײע לעטע, און עס דערהערט זיך אַ קאַטערינקע שפּיעלען.|אין מיטען מאַרק װערט פּללונג אױסגעשפּרײט אַ לאַנגע, ברײע לעטע, און עס דערהערט זיך אַ קאַטערינקע שפּיעלען.
ashtetl-900|קינדער קומען אָן צולױפען פון אלע עקען, דערנאָך עלטערע מענשען.|קינדער קומען אָן צולױפען פון אלע עקען, דערנאָך עלטערע מענשען.
ashtetl-901|מען שטעלט זר ארום, מען רינגעלט אַרום, און אײנער אין א פערדרעהטען הוט אָהן אַ דאַשעק, אָנגעצױגען אין עפּעס א מין גשטריקט העעל און אָנמעגאַרטעלט אין אַ ברײטען פּאַסעק, אין שיך און זאָקען, דרעהט זיך אַרום און ארום דעם רעדעל טיט אַ קאַנטשיק אין דער האַנד און האַקט איבער ד קעפּ, און װארפט היטלעך אין די קופּקע ארײן און די קאַטערעקע שפּיעלט צו.|מען שטעלט זר ארום, מען רינגעלט אַרום, און אײנער אין א פערדרעהטען הוט אָהן אַ דאַשעק, אָנגעצױגען אין עפּעס א מין גשטריקט העעל און אָנמעגאַרטעלט אין אַ ברײטען פּאַסעק, אין שיך און זאָקען, דרעהט זיך אַרום און ארום דעם רעדעל טיט אַ קאַנטשיק אין דער האַנד און האַקט איבער ד קעפּ, און װארפט היטלעך אין די קופּקע ארײן און די קאַטערעקע שפּיעלט צו.
ashtetl-902|פּלוצים װײזט זיך א הױכער יונג אין אַן אָבגער קרײט פּנים, אָנגעטון אין א פּאָר גאַנצע הױזען פון אױבען ביז אראָב, מיט אַ זײגער אױסגעמאָלט אױף די הױזען אױף דער סאמע „זײט מיד טחל"...|פּלוצים װײזט זיך א הױכער יונג אין אַן אָבגער קרײט פּנים, אָנגעטון אין א פּאָר גאַנצע הױזען פון אױבען ביז אראָב, מיט אַ זײגער אױסגעמאָלט אױף די הױזען אױף דער סאמע „זײט מיד טחל"...
ashtetl-903|אױפ'ן בױך שטעלט ער זיך ארױף אַ הױכען דראָנג, און אַרט'ן שפּיץ דראָנג לעבט אַ גאַנצע משפּחה, װעלכע מאכט נאָך קונען דערצו.|אױפ'ן בױך שטעלט ער זיך ארױף אַ הױכען דראָנג, און אַרט'ן שפּיץ דראָנג לעבט אַ גאַנצע משפּחה, װעלכע מאכט נאָך קונען דערצו.
ashtetl-904|די קאַטערינקע שפּיעלט צו, און ער מענש מיט דעם קאַנטשיק אין דער האַנד קלאַפּט איבער פּנים'ער, איבער נאַקעטע קעפּ.|די קאַטערינקע שפּיעלט צו, און ער מענש מיט דעם קאַנטשיק אין דער האַנד קלאַפּט איבער פּנים'ער, איבער נאַקעטע קעפּ.
ashtetl-905|עס װײזט זיך אַ האַלב נאַקעט מײדעל אין א קורץ קײדעל ביז צו די קניע, מיט בלאָנדע, צולאָזטע האָר, פערקעמט און אײנגעפלאָכטען מיט פערשיעדענע קײטעלעך און קמעות, מיט א חנ'עװדיק נעזעל, און א פּאָר רױטע בעקעלעך, און ברעכט זיך אין א רײף.|עס װײזט זיך אַ האַלב נאַקעט מײדעל אין א קורץ קײדעל ביז צו די קניע, מיט בלאָנדע, צולאָזטע האָר, פערקעמט און אײנגעפלאָכטען מיט פערשיעדענע קײטעלעך און קמעות, מיט א חנ'עװדיק נעזעל, און א פּאָר רױטע בעקעלעך, און ברעכט זיך אין א רײף.
ashtetl-906|ס'װײזט זל נאָך אײנער, װאָס לינגט שװערדען אײן, אײנס נאָך עם צװײמען און דערנאָך קומט אַ צװײטער און שלעפּט איהם גאָר פון מױל ארוס, אָנשטאָט די שװערדען — לאַנגע טיכלעך מיט ורבעשע קאָפּעס.|ס'װײזט זל נאָך אײנער, װאָס לינגט שװערדען אײן, אײנס נאָך עם צװײמען און דערנאָך קומט אַ צװײטער און שלעפּט איהם גאָר פון מױל ארוס, אָנשטאָט די שװערדען — לאַנגע טיכלעך מיט ורבעשע קאָפּעס.
ashtetl-907|און געה פרעג זײ קערות!|און געה פרעג זײ קערות!
ashtetl-908|און די קאַטערינקע שפּיעלט צו, און ער מענש מיט'ן קאַנטשיק לאט צו איבער קעפּ, איבער פּנים'ער.|און די קאַטערינקע שפּיעלט צו, און ער מענש מיט'ן קאַנטשיק לאט צו איבער קעפּ, איבער פּנים'ער.
ashtetl-909|מעװען אע א מאָל אַ יוד אַ שנײדער אין שטאָדט.|מעװען אע א מאָל אַ יוד אַ שנײדער אין שטאָדט.
ashtetl-910|מען האָט ניט מאוסט, פת װאנען עס קומט אַ יוד, און װוּ אַהין עס געהט אַ יר.|מען האָט ניט מאוסט, פת װאנען עס קומט אַ יוד, און װוּ אַהין עס געהט אַ יר.
ashtetl-911|ער איז געװען אײנער פון די טױזענד, װאָס זײער לעבען געהט װי אַ שאָטען דורך פאר אונעע אױגען, און װאָס קײנער מערקט נישט, נישט זער מעבאָרען װערען און נישט זײער שטאַרען.|ער איז געװען אײנער פון די טױזענד, װאָס זײער לעבען געהט װי אַ שאָטען דורך פאר אונעע אױגען, און װאָס קײנער מערקט נישט, נישט זער מעבאָרען װערען און נישט זײער שטאַרען.
ashtetl-912|דאָס ברױט,|דאָס ברױט,
ashtetl-913|װעלכעס זײ עסען, מוז װאַקסען אױף בעהאַלטענע פעלדער, און דאָס פלײש,װאָס זײ עסען, מוז זײן פון אזעלכע בהמות, װאָס פיטערען זיך אין פערבאָרגענע לאָנקעס, — אז נישט, װאָלט מען זיך אַמאָל געפרעגט, זואו איז דאָס ברױט אהינגעקומען פון די פעלדער?|װעלכעס זײ עסען, מוז װאַקסען אױף בעהאַלטענע פעלדער, און דאָס פלײש,װאָס זײ עסען, מוז זײן פון אזעלכע בהמות, װאָס פיטערען זיך אין פערבאָרגענע לאָנקעס, — אז נישט, װאָלט מען זיך אַמאָל געפרעגט, זואו איז דאָס ברױט אהינגעקומען פון די פעלדער?
ashtetl-914|װוּ זײנען די בהמות אװעקגעקומען פון די לאָנקעס?|װוּ זײנען די בהמות אװעקגעקומען פון די לאָנקעס?
ashtetl-915|אַ יוד, אַ שנײדער, מיט קײנעם נישט געהאַט קײן געשעפען, אױסער מיט אײן גאָט, זײן בעשעפער.|אַ יוד, אַ שנײדער, מיט קײנעם נישט געהאַט קײן געשעפען, אױסער מיט אײן גאָט, זײן בעשעפער.
ashtetl-916|די נאכט דעקט נאָך דעם הימעל צו, װען דער שנײדער גרײט זיך אין בית-המדרש אַרײן.|די נאכט דעקט נאָך דעם הימעל צו, װען דער שנײדער גרײט זיך אין בית-המדרש אַרײן.
ashtetl-917|בעהאַלטען אונטער אַן אײװען, בײ אַ שראנק ספרים, דאַנקט ער זײן בעשעפער דערפאר, װאָס ער האָט איהם בעשאַפען, פאר דעם ברױט, מיט װעלכען ער דערנעהרט זיך, און פאר דעם חסד, װאָס ער װעט טון מיט איהם נאָך זײן טױט און װעט איהם צונעהמען צו זיך.|בעהאַלטען אונטער אַן אײװען, בײ אַ שראנק ספרים, דאַנקט ער זײן בעשעפער דערפאר, װאָס ער האָט איהם בעשאַפען, פאר דעם ברױט, מיט װעלכען ער דערנעהרט זיך, און פאר דעם חסד, װאָס ער װעט טון מיט איהם נאָך זײן טױט און װעט איהם צונעהמען צו זיך.
